شناسه,شعر,معنی
11,"ساقی به نور باده برافروز جام ما_x000D_
مطرب بگو که کار جهان شد به کام ما_x000D_
ما در پیاله عکس رخ یار دیده ایم_x000D_
ای بی خبر ز لذت شرب مدام ما_x000D_
هرگز نمیرد آن که دلش زنده شد به عشق_x000D_
ثبت است بر جریده عالم دوام ما_x000D_
چندان بود کرشمه و ناز سهی قدان_x000D_
کاید به جلوه سرو صنوبرخرام ما_x000D_
ای باد اگر به گلشن احباب بگذری_x000D_
زنهار عرضه ده بر جانان پیام ما_x000D_
گو نام ما ز یاد به عمدا چه می بری_x000D_
خود آید آن که یاد نیاری ز نام ما_x000D_
مستی به چشم شاهد دلبند ما خوش است_x000D_
زان رو سپرده اند به مستی زمام ما_x000D_
ترسم که صرفه ای نبرد روز بازخواست_x000D_
نان حلال شیخ ز آب حرام ما_x000D_
حافظ ز دیده دانه اشکی همی فشان_x000D_
باشد که مرغ وصل کند قصد دام ما_x000D_
دریای اخضر فلک و کشتی هلال_x000D_
هستند غرق نعمت حاجی قوام ما_x000D_
",دل خویش را به سراب و چیزهای زودگذر خوش نکن. عشق تو را جوان نگه می دارد از آینده نترس چون مثل آب روشن و پاک است. غصه نخور به وصال یار خواهی رسید. به زیارت می روید و به زودی غرق در نعمت می شوید. 
12,"ای فروغ ماه حسن از روی رخشان شما_x000D_
آب روی خوبی از چاه زنخدان شما_x000D_
عزم دیدار تو دارد جان بر لب آمده_x000D_
بازگردد یا برآید چیست فرمان شما_x000D_
کس به دور نرگست طرفی نبست از عافیت_x000D_
به که نفروشند مستوری به مستان شما_x000D_
بخت خواب آلود ما بیدار خواهد شد مگر_x000D_
زان که زد بر دیده آبی روی رخشان شما_x000D_
با صبا همراه بفرست از رخت گلدسته ای_x000D_
بو که بویی بشنویم از خاک بستان شما_x000D_
عمرتان باد و مراد ای ساقیان بزم جم_x000D_
گر چه جام ما نشد پرمی به دوران شما_x000D_
دل خرابی می کند دلدار را آگه کنید_x000D_
زینهار ای دوستان جان من و جان شما_x000D_
کی دهد دست این غرض یا رب که همدستان شوند_x000D_
خاطر مجموع ما زلف پریشان شما_x000D_
دور دار از خاک و خون دامن چو بر ما بگذری_x000D_
کاندر این ره کشته بسیارند قربان شما_x000D_
ای صبا با ساکنان شهر یزد از ما بگو_x000D_
کای سر حق ناشناسان گوی چوگان شما_x000D_
گر چه دوریم از بساط قرب همت دور نیست_x000D_
بنده شاه شماییم و ثناخوان شما_x000D_
ای شهنشاه بلنداختر خدا را همتی_x000D_
تا ببوسم همچو اختر خاک ایوان شما_x000D_
می کند حافظ دعایی بشنو آمینی بگو_x000D_
روزی ما باد لعل شکرافشان شما_x000D_
",بخت و اقبال بیدار شده است. خشونت و غضب را از خودتان دور کنید. عده ای به شما کمک می کنند دست آنها را پس نزنید. عاقبت خودتان را به زر نفروشید. ناامیدی باعث پریشانی تان شده است. این گوی و این میدان همت طلب کنید تا خداوند نیز شما را یاری فرماید. 
13,"می دمد صبح و کله بست سحاب_x000D_
الصبوح الصبوح یا اصحاب_x000D_
می چکد ژاله بر رخ لاله_x000D_
المدام المدام یا احباب_x000D_
می وزد از چمن نسیم بهشت_x000D_
هان بنوشید دم به دم می ناب_x000D_
تخت زمرد زده است گل به چمن_x000D_
راح چون لعل آتشین دریاب_x000D_
در میخانه بسته اند دگر_x000D_
افتتح یا مفتح الابواب_x000D_
لب و دندانت را حقوق نمک_x000D_
هست بر جان و سینه های کباب_x000D_
این چنین موسمی عجب باشد_x000D_
که ببندند میکده به شتاب_x000D_
بر رخ ساقی پری پیکر_x000D_
همچو حافظ بنوش باده ناب_x000D_
",در کارت عجله نداشته باش و اصرار نکن. اگر می خواهی به مقصود برسی باید مشکلات زیادی را پشت سر بگذاری. این در بسته وقتی باز می شود که حقوق دیگران را رعایت کنی. غم خوردن سودی ندارد. با گذشت زمان به مراد خود خواهی رسید. 
14,"گفتم ای سلطان خوبان رحم کن بر این غریب_x000D_
گفت در دنبال دل ره گم کند مسکین غریب_x000D_
گفتمش مگذر زمانی گفت معذورم بدار_x000D_
خانه پروردی چه تاب آرد غم چندین غریب_x000D_
خفته بر سنجاب شاهی نازنینی را چه غم_x000D_
گر ز خار و خاره سازد بستر و بالین غریب_x000D_
ای که در زنجیر زلفت جای چندین آشناست_x000D_
خوش فتاد آن خال مشکین بر رخ رنگین غریب_x000D_
می نماید عکس می در رنگ روی مه وشت_x000D_
همچو برگ ارغوان بر صفحه نسرین غریب_x000D_
بس غریب افتاده است آن مور خط گرد رخت_x000D_
گر چه نبود در نگارستان خط مشکین غریب_x000D_
گفتم ای شام غریبان طره شبرنگ تو_x000D_
در سحرگاهان حذر کن چون بنالد این غریب_x000D_
گفت حافظ آشنایان در مقام حیرتند_x000D_
دور نبود گر نشیند خسته و مسکین غریب_x000D_
",ناشکری نکن فقط به فکر خودت نباش به دیگران هم نگاه کن. از بلاتکلیفی نجات خواهی یافت. دوستان و آشنایان کمکت می کنند. کمی طاقت بیاور. فکر نکن که تنهایی، خدا با توست. تو به مقامی می رسی که همگان حیرت می کنند و این زمان دور نیست. 
15,"ای شاهد قدسی که کشد بند نقابت_x000D_
و ای مرغ بهشتی که دهد دانه و آبت_x000D_
خوابم بشد از دیده در این فکر جگرسوز_x000D_
کاغوش که شد منزل آسایش و خوابت_x000D_
درویش نمی پرسی و ترسم که نباشد_x000D_
اندیشه آمرزش و پروای ثوابت_x000D_
راه دل عشاق زد آن چشم خماری_x000D_
پیداست از این شیوه که مست است شرابت_x000D_
تیری که زدی بر دلم از غمزه خطا رفت_x000D_
تا باز چه اندیشه کند رای صوابت_x000D_
هر ناله و فریاد که کردم نشنیدی_x000D_
پیداست نگارا که بلند است جنابت_x000D_
دور است سر آب از این بادیه هش دار_x000D_
تا غول بیابان نفریبد به سرابت_x000D_
تا در ره پیری به چه آیین روی ای دل_x000D_
باری به غلط صرف شد ایام شبابت_x000D_
ای قصر دل افروز که منزلگه انسی_x000D_
یا رب مکناد آفت ایام خرابت_x000D_
حافظ نه غلامیست که از خواجه گریزد_x000D_
صلحی کن و بازآ که خرابم ز عتابت_x000D_
",از در آشتی درآی، وگرنه ایام جوانیت خراب می شود. کاری نکن که در زمان پیری افسوس جوانی را بخوری. در همه حال به خدا پناه ببر. مواظب باش در راهی که قدم گذاشته ای به خطا نروی. به هشدار پیران گوش کن. فریب ظواهر را نخور و فقط بنده ی خداوند باش. 
16,"خمی که ابروی شوخ تو در کمان انداخت_x000D_
به قصد جان من زار ناتوان انداخت_x000D_
نبود نقش دو عالم که رنگ الفت بود_x000D_
زمانه طرح محبت نه این زمان انداخت_x000D_
به یک کرشمه که نرگس به خودفروشی کرد_x000D_
فریب چشم تو صد فتنه در جهان انداخت_x000D_
شراب خورده و خوی کرده می روی به چمن_x000D_
که آب روی تو آتش در ارغوان انداخت_x000D_
به بزمگاه چمن دوش مست بگذشتم_x000D_
چو از دهان توام غنچه در گمان انداخت_x000D_
بنفشه طره مفتول خود گره می زد_x000D_
صبا حکایت زلف تو در میان انداخت_x000D_
ز شرم آن که به روی تو نسبتش کردم_x000D_
سمن به دست صبا خاک در دهان انداخت_x000D_
من از ورع می و مطرب ندیدمی زین پیش_x000D_
هوای مغبچگانم در این و آن انداخت_x000D_
کنون به آب می لعل خرقه می شویم_x000D_
نصیبه ازل از خود نمی توان انداخت_x000D_
مگر گشایش حافظ در این خرابی بود_x000D_
که بخشش ازلش در می مغان انداخت_x000D_
جهان به کام من اکنون شود که دور زمان_x000D_
مرا به بندگی خواجه جهان انداخت_x000D_
",هوشیار باش رقیبان می خواهند تو را خوار کنند و از در الفت وارد شده اند و طرح محبت با تو خواهند ریخت. فریب آنها را نخور. خودت گره ها را باز کن. از چیزی خجالت نکش به سفری کوتاه می روی و در این سفر گشایشی در کارت می شود و تو به کام دل خود می رسی و در آن زمان بندگی خداوند را فراموش نکن. 
17,"سینه از آتش دل در غم جانانه بسوخت_x000D_
آتشی بود در این خانه که کاشانه بسوخت_x000D_
تنم از واسطه دوری دلبر بگداخت_x000D_
جانم از آتش مهر رخ جانانه بسوخت_x000D_
سوز دل بین که ز بس آتش اشکم دل شمع_x000D_
دوش بر من ز سر مهر چو پروانه بسوخت_x000D_
آشنایی نه غریب است که دلسوز من است_x000D_
چون من از خویش برفتم دل بیگانه بسوخت_x000D_
خرقه زهد مرا آب خرابات ببرد_x000D_
خانه عقل مرا آتش میخانه بسوخت_x000D_
چون پیاله دلم از توبه که کردم بشکست_x000D_
همچو لاله جگرم بی می و خمخانه بسوخت_x000D_
ماجرا کم کن و بازآ که مرا مردم چشم_x000D_
خرقه از سر به درآورد و به شکرانه بسوخت_x000D_
ترک افسانه بگو حافظ و می نوش دمی_x000D_
که نخفتیم شب و شمع به افسانه بسوخت_x000D_
",به هر کس وفا کردی جفا دیده ای. سینه ای مالامال از درد داری. تا کی می خواهی پریشان حال باشی. دست از غم بردار. توبه کن تا دلت صاف شود. انتظارات بیجا را کنار بگذار. رویا و خیال را فراموش کن و به واقعیات بپرداز و از آنچه تا کنون نصیبت شده لذت ببر و عقل را به پای دل هدر نده.  
18,"ساقیا آمدن عید مبارک بادت_x000D_
وان مواعید که کردی مرواد از یادت_x000D_
در شگفتم که در این مدت ایام فراق_x000D_
برگرفتی ز حریفان دل و دل می دادت_x000D_
برسان بندگی دختر رز گو به درآی_x000D_
که دم و همت ما کرد ز بند آزادت_x000D_
شادی مجلسیان در قدم و مقدم توست_x000D_
جای غم باد مر آن دل که نخواهد شادت_x000D_
شکر ایزد که ز تاراج خزان رخنه نیافت_x000D_
بوستان سمن و سرو و گل و شمشادت_x000D_
چشم بد دور کز آن تفرقه ات بازآورد_x000D_
طالع نامور و دولت مادرزادت_x000D_
حافظ از دست مده دولت این کشتی نوح_x000D_
ور نه طوفان حوادث ببرد بنیادت_x000D_
",به عهدی که بسته ای وفا کن تا روزگارت مثل عید همیشه خوش و بهاری باشد. غم از دلت بیرون می رود و جای آن را شادی می گیرد. همت داشته باش. طالع تو بسیار روشن است. شکر خدا را بجا بیاور زیرا خزان به زندگی تو راه ندارد. و از این فرصتی که به دست آورده ای نهایت استفاده را ببر. 
19,"ای نسیم سحر آرامگه یار کجاست_x000D_
منزل آن مه عاشق کش عیار کجاست_x000D_
شب تار است و ره وادی ایمن در پیش_x000D_
آتش طور کجا موعد دیدار کجاست_x000D_
هر که آمد به جهان نقش خرابی دارد_x000D_
در خرابات بگویید که هشیار کجاست_x000D_
آن کس است اهل بشارت که اشارت داند_x000D_
نکته ها هست بسی محرم اسرار کجاست_x000D_
هر سر موی مرا با تو هزاران کار است_x000D_
ما کجاییم و ملامت گر بی کار کجاست_x000D_
بازپرسید ز گیسوی شکن در شکنش_x000D_
کاین دل غمزده سرگشته گرفتار کجاست_x000D_
عقل دیوانه شد آن سلسله مشکین کو_x000D_
دل ز ما گوشه گرفت ابروی دلدار کجاست_x000D_
ساقی و مطرب و می جمله مهیاست ولی_x000D_
عیش بی یار مهیا نشود یار کجاست_x000D_
حافظ از باد خزان در چمن دهر مرنج_x000D_
فکر معقول بفرما گل بی خار کجاست_x000D_
",گم کرده ی خود را پیدا می کنی. وعده ی دیدار نزدیک است. هوشیار باش. خبر خوبی به تو خواهند داد. با مشکلات بجنگ و از بخت خود گله نداشته باش بعد از هر تاریکی روشنایی هست . سعی کن عقلت بر قلبت غلبه داشته باشد. با این حال فکر نکن همه ی خوبی ها در تو جمع شده و عاری از هرگونه بدی هستی.  
20,"روزه یک سو شد و عید آمد و دل ها برخاست_x000D_
می ز خمخانه به جوش آمد و می باید خواست_x000D_
نوبه زهدفروشان گران جان بگذشت_x000D_
وقت رندی و طرب کردن رندان پیداست_x000D_
چه ملامت بود آن را که چنین باده خورد_x000D_
این چه عیب است بدین بی خردی وین چه خطاست_x000D_
باده نوشی که در او روی و ریایی نبود_x000D_
بهتر از زهدفروشی که در او روی و ریاست_x000D_
ما نه رندان ریاییم و حریفان نفاق_x000D_
آن که او عالم سر است بدین حال گواست_x000D_
فرض ایزد بگذاریم و به کس بد نکنیم_x000D_
وان چه گویند روا نیست نگوییم رواست_x000D_
چه شود گر من و تو چند قدح باده خوریم_x000D_
باده از خون رزان است نه از خون شماست_x000D_
این چه عیب است کز آن عیب خلل خواهد بود_x000D_
ور بود نیز چه شد مردم بی عیب کجاست_x000D_
",خودت را به دست خداوند بسپار. اینقدر از روزگار شکایت نکن و در مقابل خواسته ی خدا ایستادگی نکن وگرنه سرگردان می شوی. خدا خود بر احوال دل همه آگاه است پس گله نداشته باش. خدا را از یاد نبر چون در همه حال اوست که راهنمای توست. 
21,"دل و دینم شد و دلبر به ملامت برخاست_x000D_
گفت با ما منشین کز تو سلامت برخاست_x000D_
که شنیدی که در این بزم دمی خوش بنشست_x000D_
که نه در آخر صحبت به ندامت برخاست_x000D_
شمع اگر زان لب خندان به زبان لافی زد_x000D_
پیش عشاق تو شب ها به غرامت برخاست_x000D_
در چمن باد بهاری ز کنار گل و سرو_x000D_
به هواداری آن عارض و قامت برخاست_x000D_
مست بگذشتی و از خلوتیان ملکوت_x000D_
به تماشای تو آشوب قیامت برخاست_x000D_
پیش رفتار تو پا برنگرفت از خجلت_x000D_
سرو سرکش که به ناز از قد و قامت برخاست_x000D_
حافظ این خرقه بینداز مگر جان ببری_x000D_
کاتش از خرقه سالوس و کرامت برخاست_x000D_
",ایمانت را قوی تر کن تا از رنج ملامت نجات یابی. گرفتاریت برطرف می شود. اگر در عین غمگینی خندیدی شاهکار کرده ای. کسانی که طرفداری تو را می کنند و از آشوب و غوغا نجاتت می دهند. تغییری در خود و افکارت بده. بدی ها را آتش بزن و بخشندگی را در خود پرورش بده. 
22,"چو بشنوی سخن اهل دل مگو که خطاست_x000D_
سخن شناس نه ای جان من خطا این جاست_x000D_
سرم به دنیی و عقبی فرو نمی آید_x000D_
تبارک الله از این فتنه ها که در سر ماست_x000D_
در اندرون من خسته دل ندانم کیست_x000D_
که من خموشم و او در فغان و در غوغاست_x000D_
دلم ز پرده برون شد کجایی ای مطرب_x000D_
بنال هان که از این پرده کار ما به نواست_x000D_
مرا به کار جهان هرگز التفات نبود_x000D_
رخ تو در نظر من چنین خوشش آراست_x000D_
نخفته ام ز خیالی که می پزد دل من_x000D_
خمار صدشبه دارم شرابخانه کجاست_x000D_
چنین که صومعه آلوده شد ز خون دلم_x000D_
گرم به باده بشویید حق به دست شماست_x000D_
از آن به دیر مغانم عزیز می دارند_x000D_
که آتشی که نمیرد همیشه در دل ماست_x000D_
چه ساز بود که در پرده می زد آن مطرب_x000D_
که رفت عمر و هنوزم دماغ پر ز هواست_x000D_
ندای عشق تو دیشب در اندرون دادند_x000D_
فضای سینه حافظ هنوز پر ز صداست_x000D_
",غرور نداشته باش با اهل فن و نظر مشورت کن تا از خطاها به دور باشی. احساس خستگی می کنی و درونت غوغاست به ائمه متوسل شو تا به حقیقت برسی. تو را با دنیای فانی کاری نیست پس به باقیات برس و سینه ات را با یاد خدا پر کن تا به وصال یار برسی. 
